Order,seq_id,Tree_label,Cluster,Accession,Family,Genus,Original_Species_ID,Updated_Species_ID,Gene,Region,Location,Location notes,Data_type,Molecular_result,Biogeography_result,Collector,Collection_ID,Voucher,Locality_Name,Latitude,Longitude,Substrate,Depth,Sampling method
1,"KM027318.1_Pylaiella_littoralis_voucher_L234_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027318:Pylaiella littoralis/varia,1,KM027318,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,"France: Concarneau, Pendruc, Pointe de la",,GenBank,,,,,,,,,,,
2,"KM027320.1_Pylaiella_littoralis_voucher_L240_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027320:Pylaiella littoralis/varia,1,KM027320,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,"France: Concarneau, Pendruc, Pointe de la",,GenBank,,,,,,,,,,,
3,"KM027322.1_Pylaiella_littoralis_voucher_L188_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027322:Pylaiella littoralis/varia,1,KM027322,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Dinard,,GenBank,,,,,,,,,,,
4,"KM027324.1_Pylaiella_littoralis_voucher_L169_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027324:Pylaiella littoralis/varia,1,KM027324,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Dinard,,GenBank,,,,,,,,,,,
5,"KM027317.1_Pylaiella_littoralis_voucher_L155_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027317:Pylaiella littoralis/varia,1,KM027317,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
6,"KM027319.1_Pylaiella_littoralis_voucher_L091_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027319:Pylaiella littoralis/varia,1,KM027319,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
7,"KM027321.1_Pylaiella_littoralis_voucher_L100_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027321:Pylaiella littoralis/varia,1,KM027321,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
8,"KM027323.1_Pylaiella_littoralis_voucher_L094_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027323:Pylaiella littoralis/varia,1,KM027323,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
9,"KM027325.1_Pylaiella_littoralis_voucher_L156_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027325:Pylaiella littoralis/varia,1,KM027325,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
10,"KM027326.1_Pylaiella_littoralis_voucher_L095_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027326:Pylaiella littoralis/varia,1,KM027326,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
11,"KM027327.1_Pylaiella_littoralis_voucher_L108_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027327:Pylaiella littoralis/varia,1,KM027327,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
12,"KM027328.1_Pylaiella_littoralis_voucher_L158_cytochrome_oxidase_subunit_1_(cox1)_gene,_partial_cds;_mitochondrial",KM027328:Pylaiella littoralis/varia,1,KM027328,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,France: Roscoff,,GenBank,,,,,,,,,,,
13,"LM995270.1_Pylaiella_littoralis_mitochondrial_partial_COI_gene_for_cytochrome_oxidase_subunit_1,_strain_PlitPH13-03m",LM995270:Pylaiella littoralis/varia,1,LM995270,Acinetosporaceae,Pylaiella,Pylaiella littoralis,Pylaiella littoralis/varia,COI,Northeast Atlantic,"France:Brittany, Roscoff, Santec,",,GenBank,,,,,,,,,,,
